ts,id,x,y,z,devlon,devlat,devheight,tardistance,tarazim,tarpitch,tarheadangle,radialspeed,tarspeed,rcs,tartype,tarcatecred,threlevel,radtaskway,historydotnum,tacquality,tarrange,reserve,reporttime,devid
48:47.5,157,105.98368836920653,29.35160743978741,440.29084684699774,106.006832,29.35655,352,0,25630,217,2300,-780,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:49.5,157,105.9835241910617,29.35159517081932,415.85976166278124,106.006832,29.35655,352,0,25636,156,2500,-800,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:51.5,157,105.98341105540767,29.351514830227764,423.40373924933374,106.006832,29.35655,352,0,25621,173,2500,-750,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:53.5,157,105.98325632111596,29.351431132595675,429.57873052638024,106.006832,29.35655,352,0,25608,187,2600,-750,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:55.5,157,105.98309000692602,29.351392888278863,438.56773513462394,106.006832,29.35655,352,0,25608,207,1400,-770,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:57.5,157,105.98291990255386,29.351358053904253,439.87815172225237,106.006832,29.35655,352,0,25608,209,1000,-770,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:59.5,157,105.9827729783604,29.351317557155138,442.0472179027274,106.006832,29.35655,352,0,25606,213,1000,-800,800,0,4,0,1,0,0,0,0,0,13:04.1,1
49:01.5,157,105.9827034857088,29.35131104215446,449.25394534599036,106.006832,29.35655,352,0,25608,229,900,-770,700,0,4,0,1,0,0,0,0,0,13:04.1,1
49:03.5,157,105.98264071921992,29.35131681432717,455.06481898296624,106.006832,29.35655,352,0,25613,242,1200,-700,600,0,4,0,1,0,0,0,0,0,13:04.1,1
49:05.5,157,105.98253862369263,29.351279560870477,463.9242135742679,106.006832,29.35655,352,0,25609,262,1300,-620,600,0,4,0,1,0,0,0,0,0,13:04.1,1
49:07.5,157,105.98244305609232,29.351254469130335,470.93698511458933,106.006832,29.35655,352,0,25608,277,1300,-530,500,0,4,0,1,0,0,0,0,0,13:04.1,1
49:09.5,157,105.98225434633389,29.351193750124487,482.9986229231581,106.006832,29.35655,352,0,25603,303,1000,-530,600,0,4,0,1,0,0,0,0,0,13:04.1,1
49:11.5,157,105.98210490641108,29.35114572582742,494.76883712410927,106.006832,29.35655,352,0,25599,329,700,-550,700,0,4,0,1,0,0,0,0,0,13:04.2,1
49:13.5,157,105.98193881308755,29.351102743929,498.6179639408365,106.006832,29.35655,352,0,25598,335,600,-670,700,0,4,0,1,0,0,0,0,0,13:04.2,1
49:15.5,157,105.9817572671244,29.351089841110813,491.20103063900024,106.006832,29.35655,352,0,25604,316,900,-760,800,0,4,0,1,0,0,0,0,0,13:04.2,1
49:17.5,157,105.98157985331912,29.351064700176494,484.3953518504277,106.006832,29.35655,352,0,25608,298,1200,-830,800,0,4,0,1,0,0,0,0,0,13:04.2,1
49:19.5,157,105.98140923889369,29.35096638066881,470.45755187794566,106.006832,29.35655,352,0,25593,265,1100,-860,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:21.5,157,105.98124954174841,29.350929005082403,469.7312495848164,106.006832,29.35655,352,0,25592,262,1100,-830,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:23.5,157,105.98108709674673,29.350902487985454,469.72785905655473,106.006832,29.35655,352,0,25594,260,1000,-830,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:25.5,157,105.98092318623446,29.35089194678898,475.9308048794046,106.006832,29.35655,352,0,25600,272,1000,-820,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:27.5,157,105.98027550150765,29.350920726439366,445.4429474873468,106.006832,29.35655,352,0,25640,200,2100,-830,1300,0,4,0,1,0,0,0,0,0,13:04.2,1
49:29.5,157,105.98028761831033,29.35087843349214,446.46049991156906,106.006832,29.35655,352,0,25630,202,2300,-820,1100,0,4,0,1,0,0,0,0,0,13:04.2,1
49:31.5,157,105.98032899288205,29.350825918347976,459.8599376361817,106.006832,29.35655,352,0,25615,231,2300,-600,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:33.5,157,105.98024277217283,29.35076936644389,468.6864065229893,106.006832,29.35655,352,0,25606,249,2400,-520,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:35.5,157,105.98007863741302,29.350764667058627,477.85805954877287,106.006832,29.35655,352,0,25614,268,2500,-520,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:37.5,157,105.97990729117826,29.350669976931204,484.95553601067513,106.006832,29.35655,352,0,25600,281,31600,-560,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:39.5,157,105.97974511372811,29.350559571084233,480.1243756785989,106.006832,29.35655,352,0,25583,269,34000,-550,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:41.5,157,105.97957534841841,29.35055122268251,475.9112599864602,106.006832,29.35655,352,0,25590,258,2000,-750,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:43.5,157,105.97940344060605,29.350515817676477,472.9998238813132,106.006832,29.35655,352,0,25591,251,1200,-830,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:45.5,157,105.97923225652346,29.350515091530866,469.9997283658013,106.006832,29.35655,352,0,25599,243,1400,-830,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:47.5,157,105.97906909977092,29.350462053214276,474.99245319422334,106.006832,29.35655,352,0,25595,252,1400,-850,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:49.5,157,105.97888262825711,29.350443588814063,473.91484711598605,106.006832,29.35655,352,0,25600,248,1600,-850,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:51.5,157,105.97871778739342,29.350344807874794,469.8438567100093,106.006832,29.35655,352,0,25586,238,1300,-850,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:53.5,157,105.97854858136077,29.35038318181136,472.37404421903193,106.006832,29.35655,352,0,25603,242,1400,-850,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:55.5,157,105.97838896613155,29.350307751590933,471.18917179945856,106.006832,29.35655,352,0,25594,238,1200,-850,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:57.5,157,105.97822012123987,29.35026556717789,470.53076668456197,106.006832,29.35655,352,0,25593,235,1200,-860,900,0,4,0,1,0,0,0,0,0,13:04.2,1
49:59.5,157,105.97801694658081,29.350120493959107,469.2721085669473,106.006832,29.35655,352,0,25571,231,1500,-870,1000,0,4,0,1,0,0,0,0,0,13:04.2,1
50:01.5,157,105.97787427807174,29.350109359892567,475.9632961852476,106.006832,29.35655,352,0,25576,243,1600,-830,900,0,4,0,1,0,0,0,0,0,13:04.2,1
50:03.5,157,105.97772031733292,29.35005687434006,478.04841909743845,106.006832,29.35655,352,0,25572,246,3400,-810,900,0,4,0,1,0,0,0,0,0,13:04.2,1
50:05.5,157,105.97755487884602,29.350030427365127,471.4305413449183,106.006832,29.35655,352,0,25574,231,1000,-820,900,0,4,0,1,0,0,0,0,0,13:04.2,1
50:07.5,157,105.97738319464088,29.350007972738307,477.2176975412294,106.006832,29.35655,352,0,25577,241,1200,-820,900,0,4,0,1,0,0,0,0,0,13:04.2,1
50:09.5,157,105.97721945338537,29.34998216536705,474.7714563384652,106.006832,29.35655,352,0,25580,235,1300,-810,900,0,4,0,1,0,0,0,0,0,13:04.2,1
50:11.5,157,105.9770350824495,29.349917275452363,472.12675836123526,106.006832,29.35655,352,0,25575,229,1200,-810,900,0,4,0,1,0,0,0,0,0,13:04.2,1
50:13.5,157,105.97684122421832,29.34985800551095,475.81703887321055,106.006832,29.35655,352,0,25571,234,1100,-850,900,0,4,0,1,0,0,0,0,0,13:04.2,1
