ts,id,tra_id,x,y,z
01:10.2,2926,85,105.99913272227494,29.35502755036308,417.86888259183615
01:10.7,2926,85,105.99913272227494,29.35502755036308,417.86888259183615
01:11.1,2926,85,105.99913272227494,29.35502755036308,417.86888259183615
01:11.5,104,86,105.99864001769994,29.354843253268836,429.91709722205997
01:11.6,2926,87,105.99889214936132,29.35497104166562,416.7895220555365
01:12.0,2926,87,105.99889214936132,29.35497104166562,416.7895220555365
01:12.5,2926,87,105.99889214936132,29.35497104166562,416.7895220555365
01:11.7,3739,88,105.98762101859296,29.337625471925094,562.9413038464263
01:12.6,2871,89,105.98416158011283,29.34313731826992,421.93274670559913
01:12.6,3939,90,105.98409154359757,29.34332431022317,423.483745791018
01:12.9,2926,91,105.9987711961958,29.354945465448324,416.1726655624807
01:13.4,2926,91,105.9987711961958,29.354945465448324,416.1726655624807
01:13.5,104,92,105.99845995615806,29.354808703895785,431.83598358836025
01:13.8,2926,93,105.99871016188145,29.354935063236727,415.8808163050562
11:11.1,7507,94,106.01257861737561,29.358970693812683,345.4255562238395
11:11.1,6689,95,106.0004048420767,29.36732476063477,334.2770152827725
11:15.8,6689,95,106.0004048420767,29.36732476063477,334.2770152827725
11:22.0,6689,95,106.0004048420767,29.36732476063477,334.2770152827725
11:28.2,6689,95,106.0004048420767,29.36732476063477,334.2770152827725
11:34.4,6689,95,106.0004048420767,29.36732476063477,334.2770152827725
11:40.6,6689,95,106.0004048420767,29.36732476063477,334.2770152827725
11:11.2,4388,96,105.99984399824015,29.354515964899228,348.6969116432592
11:11.2,2551,97,105.99813645945392,29.355479409243166,366.364570511505
11:16.6,2551,97,105.99813645945392,29.355479409243166,366.364570511505
11:22.7,2551,97,105.99813645945392,29.355479409243166,366.364570511505
11:11.2,9586,98,106.04647356399435,29.361416997770004,508.27924174722284
11:11.2,6574,99,106.00650997331562,29.364315271312165,430.05789345968515
11:17.1,6574,99,106.00650997331562,29.364315271312165,430.05789345968515
11:23.3,6574,99,106.00650997331562,29.364315271312165,430.05789345968515
11:11.2,9469,100,106.00776279993585,29.373333947112197,366.5836705463007
11:11.2,5457,101,106.00732627535741,29.374417809241283,373.8347648056224
11:11.2,6168,102,105.99736766992432,29.356411327460624,381.3773907739669
11:17.2,6168,102,105.99678802597818,29.35640880152431,381.38570027891546
11:23.3,6168,102,105.99631583051071,29.356406741958715,381.39283631183207
11:29.5,6168,102,105.99631583051071,29.356406741958715,381.39283631183207
11:35.8,6168,102,105.99631583051071,29.356406741958715,381.39283631183207
11:41.9,6168,102,105.99631583051071,29.356406741958715,381.39283631183207
11:11.4,6812,103,106.02750937672644,29.35569132637168,393.8679702403024
11:11.4,9939,104,105.99430160510666,29.357323983012478,344.91344481054693
11:11.4,9132,105,105.99355278529036,29.357465451182414,374.9781296653673
11:11.7,2798,106,105.99042552752577,29.358509264788143,394.07275734003633
11:12.2,5859,107,105.98542825370093,29.361843365011236,506.76731907296926
11:18.5,5859,107,105.98542825370093,29.361843365011236,506.76731907296926
11:24.6,5859,107,105.98542825370093,29.361843365011236,506.76731907296926
11:13.1,5735,108,106.01379001662288,29.37050232153323,355.14582013338804
11:19.3,5735,108,106.01373811525627,29.370398280501078,355.14246729109436
11:14.4,6575,109,105.99362481294767,29.368030956313483,383.9438749421388
11:20.6,6575,109,105.99320266050522,29.368402405538053,383.96066460292786
11:14.7,5897,110,105.98933435619496,29.37557156560487,393.88353292364627
11:14.9,3838,111,106.00245843696936,29.361179668259155,345.297435130924
11:21.2,3838,111,106.00250399862593,29.36112985117087,345.29669244308025
11:15.0,2971,112,105.98632057709793,29.344099675699887,372.10523230116814
11:15.0,4196,113,105.99586377937065,29.347012477138268,409.78466477803886
11:15.0,5698,114,105.99372677757265,29.34754643413036,380.5588526604697
11:15.7,7507,115,106.01255756231942,29.358935888131022,345.8200505487621
11:16.0,4388,116,105.99982993261031,29.353879631200414,354.2724771881476
11:22.0,4388,116,105.99959759572204,29.35379365457565,354.2753382064402
11:16.8,9586,117,106.04642426019886,29.36143789234711,505.83414963260293
11:17.4,9469,118,106.00778127328888,29.373299509763353,367.45735685154796
11:17.4,9132,119,105.99358524720222,29.35690063483616,371.6002649748698
11:17.7,6812,120,106.02745457571388,29.355648648977734,397.98478008341044
11:17.7,2798,121,105.99026488245505,29.357973124794775,398.61147412098944
11:29.8,2798,121,105.9901429059803,29.356679409128887,398.62096625752747
11:17.9,9939,122,105.994425801287,29.35798367377308,345.5698540797457
11:24.1,9939,122,105.99428344775282,29.3580013129726,345.57251990027726
11:30.3,9939,122,105.99416604160345,29.358015860792424,345.5747415134683
11:36.6,9939,122,105.99416604160345,29.358015860792424,345.5747415134683
